time,Area of waterbodies (km2)
1986-09-01,2057.4503999999997
1986-12-01,3318.8417999999997
2000-09-01,4565.0835
2000-12-01,4300.9416
2001-03-01,3415.9022999999997
2001-12-01,5804.081999999999
2002-03-01,4103.2422
2002-06-01,3332.7846
2002-12-01,4455.1701
2003-03-01,2501.1747
2004-03-01,3097.692
2004-09-01,4070.1861
2005-03-01,2350.5471
2005-09-01,3434.2893
2007-03-01,2597.958
2007-12-01,4150.3841999999995
2008-09-01,2935.8684
2009-12-01,3090.8043
2012-09-01,2207.8098
2013-03-01,3510.2187
2013-06-01,3303.4662
2013-09-01,4051.9962
2013-12-01,5184.0144
2014-03-01,3705.5196
2014-06-01,3024.6345
2014-09-01,3716.2466999999997
2014-12-01,6169.5729
2015-03-01,3599.3772
2015-06-01,3347.6733
2015-09-01,3857.13
2015-12-01,4484.0097
2016-03-01,2559.1185
2016-06-01,2439.0216
2016-09-01,3188.1041999999998
2016-12-01,4505.0184
2017-03-01,2866.7916
2017-06-01,2367.4076999999997
2017-09-01,3332.88
2017-12-01,5038.8318
2018-03-01,2987.388
2018-06-01,2566.7001
2018-09-01,3229.4943
2018-12-01,5216.1021
2019-03-01,2942.6841
2019-06-01,2596.6863
2019-09-01,3382.0659
2019-12-01,6363.36
2020-03-01,4196.1402
2020-06-01,3908.1474
2020-09-01,4854.2256
2020-12-01,5606.055
2021-03-01,5232.032099999999
2021-06-01,4687.0812
2021-09-01,5417.343
2021-12-01,6292.8207
2022-03-01,4857.7995
2022-06-01,4399.9749
